All images under CC0 licence, except images from wikipedia (CC-BY SA, published by the german government)
6-7_fine_2.jpg, https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Fahrbahnmarkierung_BUS_(3).jpg/800px-Fahrbahnmarkierung_BUS_(3).jpg, 0
6-7_corrupted_1, https://upload.wikimedia.org/wikipedia/commons/f/f1/Road_surface_deterioration_by_pavement_markings.jpg, 0
6-7_corrupted_2, http://s0.geograph.org.uk/geophotos/03/64/73/3647381_b84fe624.jpg, 0
7-1_regular, https://www.publicdomainpictures.net/en/view-image.php?image=199842&picture=traffic-light, 0
7-1_arrow_straight, https://unsplash.com/photos/FuKFw8shpSk, 0
7-1_arrow_left, https://unsplash.com/photos/ykhEyl2qXk4, 0
7-1_tl_arrow_right, http://i.stack.imgur.com/UpriI.png, 0
7-1_pedestrian, https://www.pexels.com/de-de/foto/selektive-fokusfotografie-der-ampel-1616781/, 0
7-1_tl_arrow_straight_right, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gruener_Pfeil-GR.svg/120px-Gruener_Pfeil-GR.svg.png, 0
7-1_tl_arrow_straight_left, https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gruener_Pfeil-GR.svg/120px-Gruener_Pfeil-GR.svg.png, 1
7-1_bycicle, https://unsplash.com/photos/tjDHhOfGAIY, 0
7-1_pedestrian_bicycle, https://unsplash.com/photos/fEmR7nGt-y0, 0
7-1_single_red, https://c1.staticflickr.com/3/2041/2234314943_bdcd95d800_b.jpg, 0
7-1_tl_redAmber, https://unsplash.com/photos/p57-dWK298o, 0
7-1_lane_light, https://www.bremerhaven.de/sixcms/media.php/bhv2016.a.93.de/thumbnail/BAB_Bauarbeiten_Lampen_IMG_5411.jpg, 0
7-1_bus_light, https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tram_sign_de_F_two_tram_bus.jpg/220px-Tram_sign_de_F_two_tram_bus.jpg, 0
7-1_switchable_1, https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/3eckKA_Routen_78-61-55.jpg/330px-3eckKA_Routen_78-61-55.jpg, 0
7-1_switchable_2, https://upload.wikimedia.org/wikipedia/commons/2/20/WVZ_Stau.jpg, 0
7-1_barrier, https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Bourke-Docker_Street_level_crossing_boom_gate.jpg/1200px-Bourke-Docker_Street_level_crossing_boom_gate.jpg, 0
8-1_notice_arrow, https://unsplash.com/photos/tHmk580VDJI, 0
8-1_arrow_straight, https://www.publicdomainpictures.net/en/view-image.php?image=198001&picture=forward-signs-on-the-road, 0
8-1_arrow_right, ORIGINAL, 0
8-1_arrow_left, https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Fahrbahnmarkierung_Pfeil_L.svg/240px-Fahrbahnmarkierung_Pfeil_L.svg.png, 0
8-1_arrow_left_straight, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Fahrbahnmarkierung_Pfeil_GL.svg/120px-Fahrbahnmarkierung_Pfeil_GL.svg.png, 0
8-1_arrow_right_straight, https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Fahrbahnmarkierung_Pfeil_GR.svg/120px-Fahrbahnmarkierung_Pfeil_GR.svg.png, 0
8-1_arrow_left_right, https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Fahrbahnmarkierung_Pfeil_LR.svg/600px-Fahrbahnmarkierung_Pfeil_LR.svg.png, 0
8-1_arrow_left_straight_right, https://commons.wikimedia.org/wiki/File:Fahrbahnmarkierung_Pfeil_GL.svg#/media/File:Fahrbahnmarkierung_Pfeil_GL.svg, 1
8-1_zig_zag, https://de.wikipedia.org/wiki/Datei:Zeichen_299_-_Grenzmarkierung_f%C3%BCr_Halt-_und_Parkverbote,_StVO_1992.svg, 0
8-1_keepout_area, https://de.wikipedia.org/wiki/Datei:Zeichen_298_-_Sperrfl%C3%A4chen,_StVO_1970.svg, 0
8-1_vehicle_front, https://svgsilh.com/de/image/2071876.html, 0
8-1_Truck, https://svgsilh.com/de/image/39102.html, 0
8-1_Bicycle, https://svgsilh.com/de/image/297142.html, 0
8-1_delivery_bike, https://de.wikipedia.org/wiki/Datei:Fahrrad_zum_Transport_von_G%C3%BCtern_oder_Personen_-_Lastenfahrrad;_Sinnbild_nach_%C2%A7_39_StVO,_StVO_2020.svg, 0
8-1_Pedestrian, https://svgsilh.com/svg/6669.svg, 0
8-1_Horse_Rider, https://svgsilh.com/svg/6675.svg, 0
8-1_cattleDrive, https://svgsilh.com/de/image/48185.html, 0
8-1_tram, https://svgsilh.com/de/image/145923.html, 0
8-1_Bus, https://svgsilh.com/de/image/1295804.html, 0
8-1_vehicle, https://de.wikipedia.org/wiki/Datei:Sinnbild_PKW.svg, 0
8-1_vehicle_multiple_passengers, https://de.wikipedia.org/wiki/Datei:Personenkraftwagen_oder_Kraftr%C3%A4der_mit_Beiwagen_die_mit_mindestens_drei_Personen_besetzt_sind_-_Mehrfachbesetzte_Personenkraftwagen,_Sinnbild_nach_%C2%A7_39_StVO,_StVO_2020.svg, 0
8-1_pkw_with_trailer, https://upload.wikimedia.org/wikipedia/commons/f/f7/Sinnbild_PKW_mit_Anh%C3%A4nger.svg, 0
8-1_truck_with_trailer, https://svgsilh.com/de/image/306308.html, 0
8-1_mobile_home, https://de.wikipedia.org/wiki/Datei:Wohnmobil,_Sinnbild_nach_%C2%A7_39_StVO,_StVO_2020.svg, 0
8-1_tractor, https://svgsilh.com/de/image/6677.html, 0
8-1_motorcycle, https://svgsilh.com/de/image/39131.html, 0
8-1_Moped, https://svgsilh.com/de/image/295476.html, 0
8-1_electric_bicycle, https://de.wikipedia.org/wiki/Datei:Einsitzige_zweir%C3%A4drige_Kleinkraftr%C3%A4der_mit_elektrischem_Antrieb,_Sinnbild_nach_%C2%A7_39,_StVO_2017.svg, 0
8-1_e-scooter, https://de.wikipedia.org/wiki/Datei:Elektrokleinstfahrzeuge_im_Sinne_der_Elektrokleinstfahrzeuge-Verordnung_(eKFV),_Sinnbild_nach_%C2%A7_39_StVO,_StVO_2020.svg, 0
8-1_carriage, https://de.wikipedia.org/wiki/Datei:Sinnbild_Gespannfuhrwerk,_StVO_2004.svg, 0
8-1_snowfall, https://svgsilh.com/de/image/1077428.html, 0
